File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF319VBB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR739VVT	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF398XYR/, /files/ENCFF420VUM/	789181	Gene Yeo, UCSD	ea208196d705e212c8b9eccd760e8312		https://www.encodeproject.org/files/ENCFF319VBB/@@download/ENCFF319VBB.bed.gz				released	s3://encode-public/2018/04/29/94d8b36c-2613-4cfe-bd33-df590d3fed3b/ENCFF319VBB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/94d8b36c-2613-4cfe-bd33-df590d3fed3b/ENCFF319VBB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF034NKK	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR739VVT	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF284TAX/, /files/ENCFF854OMC/	780697	Gene Yeo, UCSD	2ada4c3348955e1dffeba4484fb23fbf		https://www.encodeproject.org/files/ENCFF034NKK/@@download/ENCFF034NKK.bed.gz				released	s3://encode-public/2018/04/29/778c8abf-09f1-45f6-b969-96f42a27dbb2/ENCFF034NKK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/778c8abf-09f1-45f6-b969-96f42a27dbb2/ENCFF034NKK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF273IBF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR739VVT	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF943EZJ/, /files/ENCFF854OMC/	640808	Gene Yeo, UCSD	f5534be30dc914a1b0a2e1129a628ecb		https://www.encodeproject.org/files/ENCFF273IBF/@@download/ENCFF273IBF.bed.gz				released	s3://encode-public/2018/04/29/a7ec7b90-7745-47a1-9d2f-8f1a467b658d/ENCFF273IBF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/a7ec7b90-7745-47a1-9d2f-8f1a467b658d/ENCFF273IBF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF736YDH	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR739VVT	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF519AJS/, /files/ENCFF346VFW/, /files/ENCFF319VBB/, /files/ENCFF398XYR/, /files/ENCFF420VUM/, /files/ENCFF039QTN/	23772	Gene Yeo, UCSD	596a856877fb6d5cc3a5c02dadf31ba1		https://www.encodeproject.org/files/ENCFF736YDH/@@download/ENCFF736YDH.bed.gz				released	s3://encode-public/2018/06/08/6260978e-b434-4d6d-9ced-84a69548a433/ENCFF736YDH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/6260978e-b434-4d6d-9ced-84a69548a433/ENCFF736YDH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths		
ENCFF472CCL	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR739VVT	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF273IBF/, /files/ENCFF943EZJ/, /files/ENCFF269URO/, /files/ENCFF284TAX/, /files/ENCFF854OMC/, /files/ENCFF034NKK/	24393	Gene Yeo, UCSD	954fbfb54e8815efc38a5b00697e9367		https://www.encodeproject.org/files/ENCFF472CCL/@@download/ENCFF472CCL.bed.gz				released	s3://encode-public/2018/12/03/faae170c-6121-4116-867b-b524c0f18f7d/ENCFF472CCL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/faae170c-6121-4116-867b-b524c0f18f7d/ENCFF472CCL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF691JPV	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF376EDQ/, /files/ENCFF291XOO/	2187015	Gene Yeo, UCSD	ed0f238aa68f8243ac3a5fd01b586705		https://www.encodeproject.org/files/ENCFF691JPV/@@download/ENCFF691JPV.bed.gz				released	s3://encode-public/2018/04/29/7c32fb12-1be8-4ee5-8d6c-3bedbe19251a/ENCFF691JPV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/7c32fb12-1be8-4ee5-8d6c-3bedbe19251a/ENCFF691JPV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF858HBB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF139XGO/, /files/ENCFF291XOO/	2702555	Gene Yeo, UCSD	80f1e116cc7348427959d83ef5cd41bf		https://www.encodeproject.org/files/ENCFF858HBB/@@download/ENCFF858HBB.bed.gz				released	s3://encode-public/2018/04/29/e2293f45-e904-4627-b319-672859b5a8d4/ENCFF858HBB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/e2293f45-e904-4627-b319-672859b5a8d4/ENCFF858HBB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF797YXM	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF510PFS/, /files/ENCFF894HGK/	2192187	Gene Yeo, UCSD	16f5ab877cec4f625d4736f1ffd13336		https://www.encodeproject.org/files/ENCFF797YXM/@@download/ENCFF797YXM.bed.gz				released	s3://encode-public/2018/04/29/38c5816e-a2fb-4c08-a2a7-233c68553387/ENCFF797YXM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/38c5816e-a2fb-4c08-a2a7-233c68553387/ENCFF797YXM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF936QEL	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF673LOJ/, /files/ENCFF894HGK/	2725880	Gene Yeo, UCSD	05f2060646a6460e92b179c21ad6537d		https://www.encodeproject.org/files/ENCFF936QEL/@@download/ENCFF936QEL.bed.gz				released	s3://encode-public/2018/04/29/7a27f435-abfe-4c4f-8c5a-9c8e61fecbfc/ENCFF936QEL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/7a27f435-abfe-4c4f-8c5a-9c8e61fecbfc/ENCFF936QEL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF930HHV	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF376EDQ/, /files/ENCFF858HBB/, /files/ENCFF691JPV/, /files/ENCFF291XOO/, /files/ENCFF039QTN/, /files/ENCFF139XGO/	748831	Gene Yeo, UCSD	243eccb49cfdafd294c572911f84a72e		https://www.encodeproject.org/files/ENCFF930HHV/@@download/ENCFF930HHV.bed.gz				released	s3://encode-public/2018/06/08/5543b057-40f2-4173-94f1-33b34c119aee/ENCFF930HHV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/5543b057-40f2-4173-94f1-33b34c119aee/ENCFF930HHV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF810EUA	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR876EYA	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										BCLAF1-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF510PFS/, /files/ENCFF894HGK/, /files/ENCFF673LOJ/, /files/ENCFF269URO/, /files/ENCFF797YXM/, /files/ENCFF936QEL/	745489	Gene Yeo, UCSD	59c6e590149944d0209da7077203f15d		https://www.encodeproject.org/files/ENCFF810EUA/@@download/ENCFF810EUA.bed.gz				released	s3://encode-public/2018/12/03/cf23d97e-9437-4f7a-8a16-7078df8ea6ad/ENCFF810EUA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/cf23d97e-9437-4f7a-8a16-7078df8ea6ad/ENCFF810EUA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF362BDI	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF613CYM/, /files/ENCFF750DBW/	286122	Gene Yeo, UCSD	5dc9414ddfbc3cd626bcad6df621371f		https://www.encodeproject.org/files/ENCFF362BDI/@@download/ENCFF362BDI.bed.gz				released	s3://encode-public/2018/04/29/bd77ee18-2302-4214-9bc9-50eadb8d85ed/ENCFF362BDI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/bd77ee18-2302-4214-9bc9-50eadb8d85ed/ENCFF362BDI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF258VPL	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF083KKV/, /files/ENCFF750DBW/	532958	Gene Yeo, UCSD	101065617288e7048f64ed6268c57f96		https://www.encodeproject.org/files/ENCFF258VPL/@@download/ENCFF258VPL.bed.gz				released	s3://encode-public/2018/04/29/3f099149-a44d-49c1-8a48-dd0f2bc25bc9/ENCFF258VPL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/3f099149-a44d-49c1-8a48-dd0f2bc25bc9/ENCFF258VPL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF369RBP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF724QGF/, /files/ENCFF759JDI/	263009	Gene Yeo, UCSD	6cc16209b8dd587a18ea3136a0018be9		https://www.encodeproject.org/files/ENCFF369RBP/@@download/ENCFF369RBP.bed.gz				released	s3://encode-public/2018/04/29/a592f35e-847d-41b0-97e0-fb75f153f215/ENCFF369RBP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/a592f35e-847d-41b0-97e0-fb75f153f215/ENCFF369RBP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF388GZP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF605PZM/, /files/ENCFF759JDI/	580450	Gene Yeo, UCSD	d4962c293f872e7d6c1e633725901171		https://www.encodeproject.org/files/ENCFF388GZP/@@download/ENCFF388GZP.bed.gz				released	s3://encode-public/2018/04/29/3cac912c-28ee-4fca-8ea2-f8eeb2aa2d23/ENCFF388GZP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/3cac912c-28ee-4fca-8ea2-f8eeb2aa2d23/ENCFF388GZP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF534ONM	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF083KKV/, /files/ENCFF258VPL/, /files/ENCFF362BDI/, /files/ENCFF613CYM/, /files/ENCFF039QTN/, /files/ENCFF750DBW/	7571	Gene Yeo, UCSD	bbd4a3a305f0a6633420d1f15223635a		https://www.encodeproject.org/files/ENCFF534ONM/@@download/ENCFF534ONM.bed.gz				released	s3://encode-public/2018/06/08/58a71c99-94b9-446d-a2cc-39258dad53f4/ENCFF534ONM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/58a71c99-94b9-446d-a2cc-39258dad53f4/ENCFF534ONM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF634UAC	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR023PKW	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF605PZM/, /files/ENCFF369RBP/, /files/ENCFF759JDI/, /files/ENCFF269URO/, /files/ENCFF388GZP/, /files/ENCFF724QGF/	7435	Gene Yeo, UCSD	be8827995b94265fb87ca31d7f364abe		https://www.encodeproject.org/files/ENCFF634UAC/@@download/ENCFF634UAC.bed.gz				released	s3://encode-public/2018/12/03/a28a1a2d-0c94-4ee8-98d0-163665607447/ENCFF634UAC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/a28a1a2d-0c94-4ee8-98d0-163665607447/ENCFF634UAC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF062LWZ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF669YBJ/, /files/ENCFF338MIV/	1728073	Gene Yeo, UCSD	c4c0709bc886894cf7a369d305ea9ab3		https://www.encodeproject.org/files/ENCFF062LWZ/@@download/ENCFF062LWZ.bed.gz				released	s3://encode-public/2018/04/29/960c63df-aab8-4f62-898c-0ff77ff7c75e/ENCFF062LWZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/960c63df-aab8-4f62-898c-0ff77ff7c75e/ENCFF062LWZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF971ZDB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF381SDJ/, /files/ENCFF338MIV/	2018619	Gene Yeo, UCSD	e0567116757c1e30f755fbc74300fb3b		https://www.encodeproject.org/files/ENCFF971ZDB/@@download/ENCFF971ZDB.bed.gz				released	s3://encode-public/2018/04/29/59662d64-32cd-4fbf-848a-c9e15c9cff61/ENCFF971ZDB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/59662d64-32cd-4fbf-848a-c9e15c9cff61/ENCFF971ZDB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF664RLU	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF048BIQ/, /files/ENCFF824ZDF/	1605996	Gene Yeo, UCSD	3f97d3fd1e27071a2b9f4d6a1c324fd1		https://www.encodeproject.org/files/ENCFF664RLU/@@download/ENCFF664RLU.bed.gz				released	s3://encode-public/2018/04/29/e35ade3c-6afd-463b-8141-3ad496b2e598/ENCFF664RLU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/e35ade3c-6afd-463b-8141-3ad496b2e598/ENCFF664RLU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF526OQL	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF935AZO/, /files/ENCFF824ZDF/	1923988	Gene Yeo, UCSD	95cbbcd7c4fb047a1d0813ade209b996		https://www.encodeproject.org/files/ENCFF526OQL/@@download/ENCFF526OQL.bed.gz				released	s3://encode-public/2018/04/29/699ae48d-1502-4e9b-bc02-eec783ec70d2/ENCFF526OQL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/699ae48d-1502-4e9b-bc02-eec783ec70d2/ENCFF526OQL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF159HMF	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF669YBJ/, /files/ENCFF381SDJ/, /files/ENCFF971ZDB/, /files/ENCFF062LWZ/, /files/ENCFF039QTN/, /files/ENCFF338MIV/	13705	Gene Yeo, UCSD	407b1980333dcfced9cf0242603eda2f		https://www.encodeproject.org/files/ENCFF159HMF/@@download/ENCFF159HMF.bed.gz				released	s3://encode-public/2018/06/08/75d3f9c3-cfb5-42a9-910f-3f9d431aa9f5/ENCFF159HMF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/08/75d3f9c3-cfb5-42a9-910f-3f9d431aa9f5/ENCFF159HMF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived			
ENCFF167CDB	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR249ROI	eCLIP	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										HNRNPC-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF048BIQ/, /files/ENCFF526OQL/, /files/ENCFF824ZDF/, /files/ENCFF269URO/, /files/ENCFF664RLU/, /files/ENCFF935AZO/	12782	Gene Yeo, UCSD	802df1b7367fae59477b798012df465a		https://www.encodeproject.org/files/ENCFF167CDB/@@download/ENCFF167CDB.bed.gz				released	s3://encode-public/2018/12/03/8708e849-6f20-4d80-af8c-45aefc55cbd5/ENCFF167CDB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/12/03/8708e849-6f20-4d80-af8c-45aefc55cbd5/ENCFF167CDB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF038BAZ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR685AUR	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF643WBT/, /files/ENCFF966FGY/	984524	Gene Yeo, UCSD	ebec5b9034aa9e99c8ed25a3836daa72		https://www.encodeproject.org/files/ENCFF038BAZ/@@download/ENCFF038BAZ.bed.gz				released	s3://encode-public/2018/04/29/83868512-f0f4-449e-a157-4926930aa7a5/ENCFF038BAZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/83868512-f0f4-449e-a157-4926930aa7a5/ENCFF038BAZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths, antibody characterized with exemption		
ENCFF660MWG	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR685AUR	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF248VYV/, /files/ENCFF966FGY/	1296034	Gene Yeo, UCSD	59c0b78636cf5b35102f91d88c93330d		https://www.encodeproject.org/files/ENCFF660MWG/@@download/ENCFF660MWG.bed.gz				released	s3://encode-public/2018/04/29/9c5e86d4-6a04-48ef-8016-76229d63f1bc/ENCFF660MWG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/9c5e86d4-6a04-48ef-8016-76229d63f1bc/ENCFF660MWG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mixed read lengths, antibody characterized with exemption		
ENCFF506YVW	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR685AUR	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF265GVT/, /files/ENCFF653PSU/	1305013	Gene Yeo, UCSD	3451b24e89f8694af526cd4affb37a00		https://www.encodeproject.org/files/ENCFF506YVW/@@download/ENCFF506YVW.bed.gz				released	s3://encode-public/2018/04/29/e5652a72-d6a5-4254-a15b-dff283efcf17/ENCFF506YVW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/e5652a72-d6a5-4254-a15b-dff283efcf17/ENCFF506YVW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths, antibody characterized with exemption		
ENCFF712CBF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR685AUR	eCLIP	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF800-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF474PGR/, /files/ENCFF653PSU/	985635	Gene Yeo, UCSD	952e09f1b5a84b73775f0e70e2ae7180		https://www.encodeproject.org/files/ENCFF712CBF/@@download/ENCFF712CBF.bed.gz				released	s3://encode-public/2018/04/29/7fd96347-78b5-4d67-ba79-24f5e5825442/ENCFF712CBF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/04/29/7fd96347-78b5-4d67-ba79-24f5e5825442/ENCFF712CBF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths, antibody characterized with exemption		
